rank,title,author,first_publish_year,readinglog_count,want_to_read_count,already_read_count,ratings_average,ratings_count,genre,date_fetched
1,Harry Potter and the Philosopher's Stone,J. K. Rowling,1997,22611,19304,1590,4.2215447,984,fantasy,2026-04-25
2,A Game of Thrones,George R. R. Martin,1996,13006,11267,876,4.217742,744,fantasy,2026-04-25
3,Haunting Adeline,H. D. Carlton,2021,11600,10363,314,3.6052632,304,fantasy,2026-04-25
4,Una corte de niebla y furia,Sarah J. Maas,2014,9230,8042,523,4.0068965,435,fantasy,2026-04-25
5,O Alquimista,Paulo Coelho,1988,8959,7616,646,3.7968397,443,fantasy,2026-04-25
6,Nineteen Eighty-Four,George Orwell,1949,8057,6732,840,4.290404,396,fantasy,2026-04-25
7,The Hunger Games,Suzanne Collins,2008,6853,5531,884,4.1013646,513,fantasy,2026-04-25
8,The Lightning Thief,Rick Riordan,2005,6685,5345,802,4.2908163,392,fantasy,2026-04-25
9,Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,6428,5084,904,4.1858406,452,fantasy,2026-04-25
10,Twilight,Stephenie Meyer,2005,6138,5097,647,3.6611373,422,fantasy,2026-04-25
11,Harry Potter and the Deathly Hallows,J. K. Rowling,2007,5746,4672,736,4.267157,408,fantasy,2026-04-25
12,The Cruel Prince,Holly Black,2018,5508,5007,239,4.00625,160,fantasy,2026-04-25
13,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,5496,4097,1105,4.2435484,620,fantasy,2026-04-25
14,The Hobbit,J.R.R. Tolkien,1937,4871,3717,803,4.2860084,486,fantasy,2026-04-25
15,Harry Potter and the Goblet of Fire,J. K. Rowling,2000,4735,3737,675,4.2626867,335,fantasy,2026-04-25
16,Harry Potter and the Order of the Phoenix,J. K. Rowling,2003,4450,3499,660,4.224359,312,fantasy,2026-04-25
17,Le petit prince,Antoine de Saint-Exupéry,1943,4230,3527,412,4.357466,221,fantasy,2026-04-25
18,A Court of Thorns and Roses,Sarah J. Maas,2013,4200,3729,301,3.887218,133,fantasy,2026-04-25
19,Charlotte's Web,E. B. White,1952,4176,3310,539,4.0317073,410,fantasy,2026-04-25
